_step;Recall Concepts;Precision Concepts;Total Loss;Concept Loss;Mean IoU;Foreground Dice;Concept Activations $F_1$-Score;Mean Dice;Concept Accuracy;Runtime;normalized_epoch;run_id;Concept Module;Segmentation Module;unified_model;Dataset;epoch
13281;0.9521276579300453;0.978960800748765;0.0246376823548538;0.0246376823548538;0.8352944380358646;0.21012421226815173;0.9632647207257011;0.849625687850149;0.9912820512820513;15008.149322412;17;3vardl0g;MaxPool;SETR-PUP;;FunnyBirds;16
10156;0.9858648511482518;0.992988782051282;0.017692194759741445;0.017692194759741445;0.8136327141209653;0.003964377340468529;0.9892252879236412;0.8139980090291876;0.9966666666666667;12832.556127428;13;48x2ek26;MaxPool;SegDINO;segdino_b;FunnyBirds;12
19531;0.9875906894125518;0.9930291263223956;0.020112591916282934;0.020112591916282934;0.8142141558622059;0.02330078613503199;0.9901193492473273;0.8162161896103307;0.9961538461538461;25389.943337651;25;652znd0o;Top-K AvgPool;SegDINO;segdino_b;FunnyBirds;24
14843;0.9732119376350146;0.9745121580474622;0.02688510691708264;0.02688510691708264;0.8272191788020887;0.20042758709505984;0.9729651024465145;0.8419275377926073;0.9905128205128205;16201.438018265;19;8s5i66xe;SoftmaxWeightedPooling;SETR-PUP;;FunnyBirds;18
19531;0.9843947363178133;0.9761501319193628;0.023868848610242518;0.023868848610242518;0.8466819320854387;0.3953161459220083;0.979925070778886;0.8669022855005766;0.9923076923076922;69815.187818978;25;d8oxb1yg;SoftmaxWeightedPooling;Upscaled MultiLayer;;FunnyBirds;24
11718;0.9895078942649793;0.9986997377622379;0.010696040084318762;0.010696040084318762;0.8179131824719278;0.05356843436234876;0.9939530662655275;0.8225660731917933;0.9971794871794871;14873.386059088;15;dstfi0h2;SoftmaxWeightedPooling;SegDINO;segdino_b;FunnyBirds;14
18749;0.9824069093299863;0.9670636240670246;0.023272654211614282;0.023272654211614282;0.8181510144158414;0.2791301039488692;0.9741054045047165;0.8340885796045002;0.9912820512820513;66065.03433848;24;dwxi34vh;Top-K AvgPool;Upscaled MultiLayer;;FunnyBirds;23
17187;0.7249647639432051;0.829152023565164;0.16965014318625132;0.16965014318625132;0.006948900068987553;0.012304377999450816;0.7573190926451034;0.008037695835810155;0.9341025641025641;30387.116538922;22;e2xe2ikz;AvgPool;Upscaled SingleLayer;;FunnyBirds;21
14062;0.9544905967476817;0.9652751822066202;0.028752323286607862;0.028752323286607862;0.7678953299396917;0.010209562379474702;0.9579077004460722;0.7688068982801939;0.9884615384615383;15998.857420478;18;jguzfmll;AvgPool;SETR-PUP;;FunnyBirds;17
13281;0.9863031592788677;0.9947567389875083;0.017876377461628484;0.017876377461628484;0.8053127825260162;0.009921585025854017;0.9902564524001749;0.8062011003494263;0.9966666666666667;16974.243119787;17;k35hft9t;AvgPool;SegDINO;segdino_b;FunnyBirds;16
18749;0.9548533059339204;0.9711841432585648;0.030330745327131203;0.030330745327131203;0.7511657743077529;0.009948202911274214;0.9610702076058876;0.7520566206229361;0.9884615384615386;21436.604838678;24;n1ohshjk;AvgPool+Affine;SETR-PUP;;FunnyBirds;23
17187;0.9723779069932916;0.9799124030056011;0.024143081890651955;0.024143081890651955;0.8221510021310103;0.17782991614780927;0.9755271527984681;0.8352546268387845;0.9923076923076923;18458.246536456;22;n4lrcx2q;Top-K AvgPool;SETR-PUP;;FunnyBirds;21
17187;0.7150909483001586;0.8292823825414689;0.16879140734672546;0.16879140734672546;0.008713941681076233;0.012237802944391182;0.7500017096995308;0.0097973320332944;0.9333333333333335;30475.671555362;22;n5zozke9;AvgPool+Affine;Upscaled SingleLayer;;FunnyBirds;21
19531;0.7559559688280812;0.9111405404392048;0.11596323788166046;0.11596323788166046;0.7462470578519922;0.27266244315787364;0.8090665337744827;0.7606239820781507;0.9548717948717947;34205.238837736;25;oxvomshq;Top-K AvgPool;Upscaled SingleLayer;;FunnyBirds;24
17968;0.9643070997828082;0.9588519899538681;0.02971782475244254;0.02971782475244254;0.7132010365787306;0.00985288294032216;0.9608720598702684;0.7140825359444869;0.9887179487179486;63896.018176242;23;pde5gcnk;AvgPool;Upscaled MultiLayer;;FunnyBirds;22
19531;0.7620533702204934;0.9041649170542487;0.11841621746619542;0.11841621746619542;0.7928887840948606;0.2738034533042657;0.8151771324547841;0.8070669519273859;0.9558974358974358;34299.126921719;25;rypsd8q1;SoftmaxWeightedPooling;Upscaled SingleLayer;;FunnyBirds;24
14843;0.992619986850756;0.9928187908957139;0.010993545796839801;0.010993545796839801;0.8027837574481964;0.009935211132917749;0.9926003906759531;0.8036734132390273;0.996923076923077;19568.533386507;19;u4w58p5i;AvgPool+Affine;SegDINO;segdino_b;FunnyBirds;18
17968;0.9628825983583068;0.95546751077495;0.02982916497004529;0.02982916497004529;0.6729630702420285;0.009798010688667235;0.9585725712846354;0.6738396271278984;0.9879487179487179;64122.643266429;23;v4n2uon6;AvgPool+Affine;Upscaled MultiLayer;;FunnyBirds;22
17968;0.9862433862433863;0.9805214797710108;0.01822644629088851;0.01822644629088851;0.8745269132287878;0.4613294248518191;0.9827054446873884;0.896457209398872;0.9946153846153846;63872.774423296;23;vzs2vei9;MaxPool;Upscaled MultiLayer;;FunnyBirds;22
19531;0.7762396371038308;0.9089610894333744;0.11430903573830922;0.11430903573830922;0.8411235558359247;0.2725749851057404;0.8226594589855107;0.8542535932440507;0.9594871794871794;34112.021572474;25;wzcsobfy;MaxPool;Upscaled SingleLayer;;FunnyBirds;24
